Date,Zero,One,Two,Three,Four,Five,Six,Seven,Eight,Nine
2005-01-01,8,7,10,11,16,9,14,11,11,10
2005-01-02,10,9,13,11,6,14,11,8,10,15
2005-01-03,9,13,10,11,10,5,13,8,17,11
2005-01-04,4,10,10,15,10,12,13,9,12,12
2005-01-05,9,13,10,11,9,15,15,10,6,9
2005-01-06,13,11,12,11,11,13,7,8,12,9
2005-01-07,12,10,14,13,4,10,8,14,11,11
2005-01-08,12,13,8,9,12,10,8,11,13,11
2005-01-09,13,10,10,13,11,10,17,8,10,5
2005-01-10,10,15,11,8,10,10,8,16,9,10
2005-01-11,11,7,14,11,11,10,6,13,12,12
2005-01-12,5,15,12,10,14,8,12,11,12,8
2005-01-13,9,10,8,11,14,13,10,12,12,8
2005-01-14,12,7,14,7,13,8,9,14,13,10
2005-01-15,14,10,8,12,11,14,9,11,8,10
2005-01-16,6,9,14,8,8,13,13,17,12,7
2005-01-17,9,11,12,10,9,13,10,12,9,12
2005-01-18,6,7,14,12,11,9,13,12,13,10
2005-01-19,10,13,12,9,11,8,5,11,10,18
2005-01-20,17,13,5,6,7,16,12,7,13,11
2005-01-21,12,10,19,8,9,16,7,7,10,9
2005-01-22,10,7,8,11,8,11,17,12,13,10
2005-01-23,8,10,14,11,6,7,12,16,9,14
2005-01-24,16,10,10,8,9,11,11,14,12,6
2005-01-25,12,8,8,12,10,11,16,11,4,15
2005-01-26,9,11,16,8,11,10,16,6,12,8
2005-01-27,6,8,13,18,8,14,10,13,8,9
2005-01-28,10,10,11,11,19,13,7,7,11,8
2005-01-29,12,11,11,10,11,12,10,9,13,8
2005-01-30,15,14,12,9,3,5,7,13,20,9
2005-01-31,5,14,11,13,8,7,8,17,13,11
2005-02-01,8,12,6,10,11,17,8,9,11,15
2005-02-02,7,13,14,7,12,12,9,9,11,13
2005-02-03,10,9,14,10,11,7,14,15,8,9
2005-02-04,12,13,12,6,11,10,11,9,7,16
2005-02-05,16,11,14,13,8,9,9,10,10,7
2005-02-06,12,11,4,8,15,12,14,11,11,9
2005-02-07,7,9,8,6,9,12,9,18,14,15
2005-02-08,0,0,0,0,0,0,0,0,0,0
2005-02-09,0,0,0,0,0,0,0,0,0,0
2005-02-10,5,16,4,12,17,9,10,11,11,12
2005-02-11,9,10,10,5,15,10,14,10,14,10
2005-02-12,9,10,8,9,18,10,8,10,15,10
2005-02-13,10,4,11,15,7,13,13,11,13,10
2005-02-14,12,6,12,6,11,15,14,12,8,11
2005-02-15,13,15,8,6,7,17,14,5,11,11
2005-02-16,16,14,11,10,7,7,10,11,13,8
2005-02-17,9,11,12,17,11,9,13,7,12,6
2005-02-18,11,13,7,17,12,4,10,13,13,7
2005-02-19,5,14,12,14,10,13,8,16,6,9
2005-02-20,14,16,11,16,7,4,13,11,8,7
2005-02-21,8,8,12,12,8,11,15,14,8,11
2005-02-22,9,7,13,14,12,13,9,13,10,7
2005-02-23,13,10,10,10,11,8,11,11,12,11
2005-02-24,8,12,14,12,7,12,11,11,10,10
2005-02-25,11,11,10,9,10,15,13,10,10,8
2005-02-26,11,7,7,14,7,11,11,13,11,15
2005-02-27,10,7,12,19,7,10,10,8,13,11
2005-02-28,13,12,11,11,14,6,10,9,7,14
2005-03-01,12,7,8,10,16,9,10,11,12,12
2005-03-02,7,10,9,9,14,10,11,11,17,9
2005-03-03,14,10,13,6,12,11,14,9,7,11
2005-03-04,8,9,12,13,13,9,6,15,12,10
2005-03-05,8,15,7,11,13,8,14,10,10,11
2005-03-06,14,13,8,9,19,5,14,9,9,7
2005-03-07,12,14,11,11,10,11,12,9,6,11
2005-03-08,14,11,6,9,15,14,12,14,8,4
2005-03-09,4,5,11,12,12,10,12,14,14,13
2005-03-10,13,9,13,6,18,9,10,5,8,16
2005-03-11,11,11,12,14,11,9,5,8,13,13
2005-03-12,7,10,8,19,13,12,6,13,10,9
2005-03-13,10,6,13,9,12,17,13,9,10,8
2005-03-14,13,11,12,6,11,14,11,10,11,8
2005-03-15,13,8,6,8,18,18,6,7,14,9
2005-03-16,14,8,10,12,13,11,9,10,10,10
2005-03-17,9,11,13,10,10,10,12,9,9,14
2005-03-18,18,14,5,11,10,12,11,2,13,11
2005-03-19,11,10,10,6,11,11,7,17,10,14
2005-03-20,6,5,17,12,9,14,9,9,13,13
2005-03-21,18,9,9,11,14,4,4,14,15,9
2005-03-22,11,11,17,10,9,10,7,10,9,13
2005-03-23,13,12,12,10,14,15,9,4,8,10
2005-03-24,13,10,11,12,10,12,12,8,10,9
2005-03-25,11,13,10,15,10,15,7,10,8,8
2005-03-26,10,15,9,14,11,11,4,12,15,6
2005-03-27,9,13,11,14,9,14,9,10,10,8
2005-03-28,9,6,18,10,13,9,11,7,10,14
2005-03-29,9,13,13,9,9,13,12,11,7,11
2005-03-30,16,13,9,13,12,5,13,12,9,5
2005-03-31,12,16,17,10,9,6,10,6,9,12
2005-04-01,12,7,9,11,9,11,15,11,8,14
2005-04-02,8,11,11,9,11,20,9,14,6,8
2005-04-03,8,13,14,8,7,12,12,9,7,17
2005-04-04,12,6,8,10,8,17,12,14,10,10
2005-04-05,12,10,11,10,11,9,12,8,12,12
2005-04-06,13,14,7,18,6,8,12,11,10,8
2005-04-07,13,9,15,7,14,8,11,8,13,9
2005-04-08,7,7,12,14,10,18,16,7,7,9
2005-04-09,9,12,11,11,8,10,10,15,7,14
2005-04-10,6,14,8,13,8,15,8,13,12,10
2005-04-11,12,8,14,13,9,7,8,12,8,16
2005-04-12,11,12,9,11,10,13,11,8,12,10
2005-04-13,9,12,9,11,14,14,10,7,13,8
2005-04-14,8,6,11,14,12,11,9,13,13,10
2005-04-15,15,10,10,8,8,13,12,15,9,7
2005-04-16,16,17,9,12,10,10,10,15,3,5
2005-04-17,12,8,9,15,9,17,8,11,10,8
2005-04-18,7,15,11,8,7,15,14,10,11,9
2005-04-19,12,2,15,13,10,9,14,10,15,7
2005-04-20,5,6,11,11,8,10,19,5,15,17
2005-04-21,7,9,13,11,11,12,11,11,12,10
2005-04-22,11,10,6,6,17,11,11,15,11,9
2005-04-23,14,9,10,12,11,9,17,9,12,4
2005-04-24,6,9,16,12,9,12,7,8,14,14
2005-04-25,12,10,13,8,8,11,9,9,10,17
2005-04-26,11,5,14,14,10,10,13,15,7,8
2005-04-27,14,10,7,19,5,18,9,4,13,8
2005-04-28,12,8,14,9,8,10,9,9,17,11
2005-04-29,12,11,11,11,18,8,11,9,10,6
2005-04-30,11,9,8,11,12,12,11,13,12,8
2005-05-01,16,10,11,12,10,8,15,7,9,9
2005-05-02,12,8,15,12,12,8,8,11,13,8
2005-05-03,6,14,9,13,17,9,10,8,12,9
2005-05-04,13,9,9,8,12,8,13,9,8,18
2005-05-05,12,14,11,4,12,13,11,9,14,7
2005-05-06,13,7,9,17,7,12,5,12,10,15
2005-05-07,8,14,10,7,8,19,14,11,12,4
